timestamp_utc,reserve,deposits,collects,position_net,external,return_direct,return_indirect,verdict
2026-06-12 04:47,1147309,561948,590272,-415352,0,0,0,STABLE_PONZI
2026-06-12 07:48,1147309,529008,370390,-370390,0,0,0,STABLE_PONZI
2026-06-12 10:47,1839587,519094,246589,445690,0,0,0,STABLE_PONZI
2026-06-12 13:47,2185627,643293,1018265,20054,0,0,0,STABLE_PONZI
2026-06-13 19:37,4314046,582239,106055,476293,0,0,53800,ANOMALY_RETURN
2026-06-14 16:02,6061744,1268476,330102,659852,0,0,0,STABLE_PONZI
2026-06-14 21:24,0,1181916,1333279,-859489,0,0,0,STABLE_PONZI
2026-06-15 16:04,1787583,634762,1074189,713395,1787583,0,0,ANOMALY_EXTERNAL
2026-06-17 16:51,378988,616912,1053150,113150,1166301,0,0,ANOMALY_EXTERNAL
2026-06-17 17:25,378988,294740,1020369,145932,1166301,0,0,ANOMALY_EXTERNAL
2026-06-18 16:03,1790882,611384,1016605,-711331,305274,0,0,ANOMALY_EXTERNAL
2026-06-21 16:08,0,0,0,0,0,0,0,STABLE_PONZI
2026-06-23 16:04,0,534851,1116782,657053,1773835,0,0,ANOMALY_EXTERNAL
2026-06-25 16:08,0,436878,1422673,-1422673,0,0,0,STABLE_PONZI
2026-06-27 16:08,0,447908,1715532,58493,1774025,0,0,ANOMALY_EXTERNAL
